"Field name","Sample ident","Year","Country","Site","Trial ID number","Date","BBCH top","Developmental stage","BBCH tuber","Developmental stage","BBCH tomato","Developmental stage"
"Unit","","","","","","","","","","","",""
"Unique name","SampleIdent","TrialYear","TrialCountryID","TrialSiteID","TrialID","RecordingDate","BBCHTop","BBCHTopText","BBCHTuber","BBCHTuberText","BBCHTomatoFresh","BBCHTomatoTextFresh"
1,"",2006,"CN","CAAS",1,"07/05/2006","","emergency","","Text","",""
2,"",2006,"CN","CAAS",1,"17/05/2006","","tuber initiation","","Text","",""
3,"",2006,"CN","CAAS",1,"25/05/2006","","First individual buds","","Text","",""
4,"",2006,"CN","CAAS",1,"03/06/2006","","Beginning of flowering","","Text","",""
5,"",2006,"CN","CAAS",1,"05/06/2006","","First berries visible","","Text","",""
6,"",2006,"CN","CAAS",1,"20/06/2006","","Beginning of leaf yellowing","","Text","",""
7,"",2006,"CN","CAAS",1,"27/06/2006","","Final harvest","","Text","",""
8,"",2007,"CN","CAU",1,"20/04/2007","","","","",105,"leaf development"
9,"",2007,"CN","CAU",1,"10/05/2007","","","","",106,"leaf development"
10,"",2007,"CN","CAU",1,"25/05/2007","","","","",107,"leaf development"
11,"",2007,"CN","CAU",1,"08/06/2007","","","","",501,"Inflorescence emergence"
12,"",2007,"CN","CAU",1,"11/06/2007","","","","",601,"Flowering"
13,"",2007,"CN","CAU",1,"14/06/2007","","","","",701,"development of fruit"
14,"",2007,"CN","CAU",1,"16/06/2007","","","","",502,"Inflorescence emergence"
15,"",2007,"CN","CAU",1,"20/06/2007","","","","",602,"Flowering"
16,"",2007,"CN","CAU",1,"23/06/2007","","","","",702,"development of fruit"
17,"",2007,"CN","CAU",1,"27/06/2007","","","","",503,"Inflorescence emergence"
18,"",2007,"CN","CAU",1,"01/07/2007","","","","",603,"Flowering"
19,"",2007,"CN","CAU",1,"10/07/2007","","","","",801,"Ripening of fruit and seed"
20,"",2007,"CN","CAU",1,"20/07/2007","","","","",802,"Ripening of fruit and seed"
21,"",2007,"CN","CAU",1,"25/07/2007","","","","",803,"Ripening of fruit and seed"
22,"",2008,"CN","CAAS",1,"15/03/2008",-99,"Sprouting/Bud develpoment",-99,"Text","",""
23,"",2008,"CN","CAAS",1,"25/03/2008",-99,"emergency",-99,"Text","",""
24,"",2008,"CN","CAAS",1,"10/04/2008",-99,"Tuber initiation",-99,"Text","",""
25,"",2008,"CN","CAAS",1,"15/04/2008",-99,"First individual buds",-99,"Text","",""
26,"",2008,"CN","CAAS",1,"20/04/2008",-99,"Beginning of flowering",-99,"Text","",""
27,"",2008,"CN","CAAS",1,"20/05/2008",-99,"First berries visible",-99,"Text","",""
28,"",2008,"CN","CAAS",1,"03/06/2008",-99,"Beginning of leaf yellowing",-99,"Text","",""
29,"",2008,"CN","CAAS",1,"26/06/2008",-99,"Final harvest",-99,"Text","",""
30,"",2008,"CN","CAU",1,"10/03/2008","","","","",105,"leaf development"
31,"",2008,"CN","CAU",1,"27/04/2008","","","","",106,"leaf development"
32,"",2008,"CN","CAU",1,"12/05/2008","","","","",107,"leaf development"
33,"",2008,"CN","CAU",1,"21/05/2008","","","","",501,"Inflorescence emergence"
34,"",2008,"CN","CAU",1,"25/05/2008","","","","",601,"Flowering"
35,"",2008,"CN","CAU",1,"29/05/2008","","","","",701,"development of fruit"
36,"",2008,"CN","CAU",1,"07/06/2008","","","","",502,"Inflorescence emergence"
37,"",2008,"CN","CAU",1,"12/06/2008","","","","",602,"Flowering"
38,"",2008,"CN","CAU",1,"20/06/2008","","","","",702,"development of fruit"
39,"",2008,"CN","CAU",1,"30/06/2008","","","","",503,"Inflorescence emergence"
40,"",2008,"CN","CAU",1,"03/07/2008","","","","",603,"Flowering"
41,"",2008,"CN","CAU",1,"16/07/2008","","","","",801,"Ripening of fruit and seed"
42,"",2008,"CN","CAU",1,"24/07/2008","","","","",802,"Ripening of fruit and seed"
43,"",2008,"CN","CAU",1,"01/08/2008","","","","",803,"Ripening of fruit and seed"
